gene_upper	bulk_log2FC	bulk_FDR	pseudobulk_logFC	pseudobulk_FDR	CellType	both_fdr05	core_gene	locked33
ERCC1	0.205574535141724	0.120515895712357	1.29043338143795	8.79817029613506e-07	Cap	False	False	False
ERCC3	-0.113996155521683	0.162123690141296	-0.0270141084015101	0.927895653471174	Cap	False	False	False
ERCC4	-0.0834546496490128	0.429679071595569	-0.0476102386060339	0.892681649647243	Cap	False	False	False
ERCC5	0.711758280657845	3.41596862984315e-19	0.844614328629443	0.0001542329979846	Cap	True	False	False
ERCC6	0.324763213266488	2.7099745640077e-05	0.841300701228932	0.0008771995905779	Cap	True	False	False
ERCC6L2	-0.0858165727865142	0.450531678442167	0.282068587488728	0.332652513788367	Cap	False	False	False
ERF	-0.246976170608122	0.0303966820166039	-0.548731052865281	0.0100856170502196	Cap	True	False	False
ERG	-0.252337718617225	1.8825271530786e-05	-0.619149209866632	0.0109623410500563	Cap	True	False	False
ERG28	0.061531851245746	0.71806180008742	0.294183160026263	0.135976526389729	Cap	False	False	False
ERGIC1	0.584813708228709	6.09681935378707e-16	1.09887569249833	8.79861698557557e-05	Cap	True	False	False
ERGIC2	0.117265767389626	0.153856819324776	0.2073235748681	0.200220470812942	Cap	False	False	False
ERGIC3	0.0725608990535806	0.314005884847287	0.286922444170302	0.0709950436198097	Cap	False	False	False
ERH	0.162363458820024	0.132492389797907	0.629516757720525	0.0095734893077263	Cap	False	False	False
ERI1	0.0462362729943935	0.723103178771003	-0.598339652515681	0.0367069352945227	Cap	False	False	False
ERI3	-0.0995876844660601	0.363642926445838	-0.428697441328928	0.129223430601892	Cap	False	False	False
ERICH1	0.388914360622597	0.0079638288755388	0.641145212888275	0.0091869901970143	Cap	True	False	False
ERLEC1	0.10838800272285	0.366089196200998	-0.475694510264994	0.0226636092186557	Cap	False	False	False
ERLIN1	0.105996965105627	0.500923105174834	1.04978273261904	0.0008997251344906	Cap	False	False	False
ERLIN2	-0.109049830982388	0.0634065750727505	0.115827015154883	0.651031168945711	Cap	False	False	False
ERMP1	0.40103404790637	4.7621792694571e-08	0.822385205972282	0.0028240686975703	Cap	True	False	False
ERO1L	0.151687542440218	0.0612065051631181	0.267669418803033	0.292981938485129	Cap	False	False	False
ERP29	0.149057067042166	0.0592110377886414	0.628705002592429	4.96211616023529e-06	Cap	False	False	False
ERP44	-0.0911180817104133	0.220756016868482	0.237077260757648	0.175012579897775	Cap	False	False	False
ERRFI1	0.317042022491808	0.0179189737310306	-0.211072241572721	0.413677369268102	Cap	False	False	False
ESAM	0.0209869218279288	0.677619128637273	-0.120098611831036	0.306711108714803	Cap	False	False	False
ESCO1	-0.523544162462043	7.38131687590077e-10	-0.541471530298355	0.0290454183396399	Cap	True	False	False
ESCO2	-0.233635367467749	0.346508523045825	2.19326211544436	0.0737903022298193	Cap	False	False	False
ESD	0.190456721658967	0.0097968556411043	1.84784277678344	1.16141023882131e-13	Cap	True	False	False
ESF1	-0.155205653571104	0.20203198511463	0.185139847742331	0.247944034982952	Cap	False	False	False
ESM1	-0.736513950620776	4.46509953559342e-06	-1.4212288571223	0.0152283735877128	Cap	True	False	False
ESRRA	-0.0633753398436759	0.571406533748318	-0.0269654042999776	0.928065099262025	Cap	False	False	False
ESYT1	0.0096863490765323	0.901358901384824	-0.104930659361963	0.628578502295572	Cap	False	False	False
ESYT2	-0.101133512682983	0.0697692977264529	-0.207152657167973	0.269084299402914	Cap	False	False	False
ETAA1	-0.205816129863106	0.194863663899129	0.0390771566002251	0.921034511030585	Cap	False	False	False
ETF1	0.241828855607522	0.0019801865218132	0.745079769219536	5.83261075096405e-06	Cap	True	False	False
ETFA	-0.0428726006978493	0.700919614494474	0.176271982189426	0.40653245709185	Cap	False	False	False
ETFB	-0.0660370288846027	0.825788828636333	-0.0229630951336271	0.906354923961191	Cap	False	False	False
ETFDH	-0.132698443598499	0.142313889840163	-0.0449319830047451	0.883672810633422	Cap	False	False	False
ETHE1	0.0835669336667688	0.749872894394423	1.40153306858162	1.28860256925928e-05	Cap	False	False	False
ETL4	-0.872721246427647	1.72399055198856e-32	-1.5055678449692	6.27207037881099e-10	Cap	True	False	False
ETNK1	0.135976763023243	0.0781892835738617	-0.0172073844741602	0.932998705251498	Cap	False	False	False
ETS1	-0.457820102658246	4.68920940265827e-16	-1.16199149498895	1.2130980743591199e-12	Cap	True	False	False
ETS2	-0.194639432216658	0.0016320867454978	-0.966846273497275	4.73649509784931e-10	Cap	True	False	False
ETV3	-0.112205736040411	0.188513745517008	-0.373349491627847	0.0746497206557551	Cap	False	False	False
ETV6	-0.0563655869267878	0.504100170633045	0.0953398495806397	0.688636881233824	Cap	False	False	False
EVA1A	0.0490016663250512	0.750575322829024	0.913966831720208	0.0001266474689577	Cap	False	False	False
EVA1B	0.235019776587249	0.0018691947405187	0.178640095690152	0.215236291218742	Cap	False	False	False
EVI5	-0.0934243190600366	0.167887123651111	-0.410429410905171	0.0179287088997816	Cap	False	False	False
EVL	-0.0842667201461207	0.293334390688138	-0.718283266531998	1.23373035439409e-05	Cap	False	False	False
EWSR1	-0.0665553595703515	0.293562844586105	-0.624034593534478	1.4708641507212e-05	Cap	False	False	False
EXOC1	0.01855937219053	0.84077623463838	0.0621225358519357	0.803563244065878	Cap	False	False	False
EXOC2	0.000927050256309	0.991752367577639	-0.131106687199266	0.634677021012144	Cap	False	False	False
EXOC3	0.0176103143181817	0.913057255424836	0.0691372392789035	0.74115029818975	Cap	False	False	False
EXOC3L	0.0641240436243774	0.512825331973394	0.0912183680612792	0.721328775749901	Cap	False	False	False
EXOC3L4	0.685369010735082	0.0102075564183551	2.90510911348049	7.78647853225206e-17	Cap	True	False	False
EXOC4	1.27844473618188	1.78492415242786e-87	1.02132872236667	6.5627166333149205e-09	Cap	True	False	False
EXOC5	-0.0910234100418205	0.0905619572459747	-0.0428271936261417	0.789335665086382	Cap	False	False	False
EXOC6	-0.194592417120171	0.0502299401383309	-0.494501844069631	0.127794750631591	Cap	False	False	False
EXOC6B	0.128584015773471	0.204542833864898	-0.41077068291447	0.0463753319950216	Cap	False	False	False
EXOC7	-0.0157171614865733	0.892544193048192	-0.336595653909077	0.135080549380051	Cap	False	False	False
EXOSC1	0.122668395059741	0.525208027388991	0.838345186241166	8.61348685647519e-05	Cap	False	False	False
EXOSC10	0.191932652947285	0.0077311175324775	0.153833291200606	0.455735968816714	Cap	False	False	False
EXOSC2	-0.0285352301308446	0.881601131843761	0.842892731902652	0.0209452913393145	Cap	False	False	False
