source	target	ligand	receptor	pair	ages_tested	positive_ages	nominal_ages	median_delta	min_p	min_fdr	priority_score	reported_in_external_p53_cellchat
Epithelial	Cap-a	Bmp4	Acvr2a	Bmp4–Acvr2a	1	0	1	-0.516160498147312	0.004329004329004329	0.015014809751651856	0.0	False
Myeloid	Cap-a	Lamb3	Itga6	Lamb3–Itga6	1	0	1	-0.5163973914384616	0.021645021645021644	0.0613107822410148	0.0	False
Mural	Cap-a	Csf1	Csf1r	Csf1–Csf1r	1	0	0	-0.5165913433134557	0.2727272727272727	0.38478594576155545	0.0	False
Fibroblast	Cap-a	Ccl11	Ccr2	Ccl11–Ccr2	1	0	0	-0.5166137013468188	0.37662337662337664	0.4858632093033442	0.0	False
Cap	Cap-a	Bmp5	Bmpr1a	Bmp5–Bmpr1a	1	0	0	-0.5172322012157375	0.3116883116883117	0.45251995710711307	0.0	False
Mural	Cap-a	Penk	Ogfr	Penk–Ogfr	1	0	1	-0.5174178347246965	0.025974025974025976	0.052365864698304385	0.0	False
Cap-a	Cap-a	App	Cd74	App–Cd74	1	0	0	-0.5176483678257497	0.05844155844155844	0.11301416353681162	0.0	False
Epithelial	Cap-a	Calm1	Abca1	Calm1–Abca1	1	0	1	-0.5178022120933665	0.006493506493506494	0.02077291640398437	0.0	False
Myeloid	Cap	Sema3e	Plxnd1	Sema3e–Plxnd1	2	0	2	-0.5182918257535984	0.0021645021645021645	0.009606831524639745	0.0	False
Fibroblast	Cap-a	Gdf10	Tgfbr1	Gdf10–Tgfbr1	1	0	1	-0.518573133208815	0.0021645021645021645	0.00716815651880587	0.0	False
Lymphoid	Cap	Cxcl12	Itgb1	Cxcl12–Itgb1	2	0	0	-0.5186167877090826	0.12337662337662338	0.3067073488760236	0.0	False
Myeloid	Cap	Pltp	Abca1	Pltp–Abca1	2	0	1	-0.5189181697827703	0.0021645021645021645	0.009606831524639745	0.0	False
Lymphoid	Cap-a	Bdnf	Sort1	Bdnf–Sort1	1	0	0	-0.518976885445138	0.31601731601731603	0.5549340218014917	0.0	False
Mural	Cap	Igfbp4	Fzd8	Igfbp4–Fzd8	2	0	2	-0.5189950022016367	0.004329004329004329	0.011525086934923	0.0	False
Myeloid	Cap-a	Vegfd	Flt4	Vegfd–Flt4	1	0	0	-0.5192428434929948	0.12337662337662338	0.24315975286849076	0.0	False
Lymphoid	Cap-a	Col5a1	Itgb1	Col5a1–Itgb1	1	0	0	-0.5195208887650034	0.5865800865800865	0.7789890443648985	0.0	False
Myeloid	Cap	Hspa8	Adrb2	Hspa8–Adrb2	2	0	2	-0.5196210216222958	0.0021645021645021645	0.009606831524639745	0.0	False
Lymphoid	Cap	Tgfb2	Tgfbr2	Tgfb2–Tgfbr2	1	0	0	-0.5199158442846321	0.36147186147186144	0.6080192452475061	0.0	False
Cap	Cap-a	Col4a1	Itga1	Col4a1–Itga1	1	0	1	-0.5203239490997316	0.0021645021645021645	0.007919825838900984	0.0	False
Mural	Cap	Ctf1	Lifr	Ctf1–Lifr	2	0	2	-0.5203960167658317	0.010822510822510822	0.07521157521157522	0.0	False
Mural	Cap	Efnb2	Pecam1	Efnb2–Pecam1	2	0	1	-0.5205519927106792	0.0021645021645021645	0.0065581184984170055	0.0	False
Lymphoid	Cap-a	Il1rn	Il1a	Il1rn–Il1a	1	0	0	-0.5208160858810383	0.18181818181818182	0.39552238805970147	0.0	False
Myeloid	Cap	Clcf1	Lifr	Clcf1–Lifr	2	0	1	-0.5211513141446499	0.010822510822510822	0.03339517625231911	0.0	False
Cap	Cap	Efemp2	Plscr4	Efemp2–Plscr4	2	0	2	-0.5212324151473784	0.0021645021645021645	0.0073701298701298705	0.0	False
Mural	Cap	Entpd1	Adora2a	Entpd1–Adora2a	2	0	1	-0.5220513322673423	0.004329004329004329	0.011525086934923	0.0	False
Myeloid	Cap	Rps27a	Erbb2	Rps27a–Erbb2	2	0	1	-0.5220751679428877	0.0021645021645021645	0.009606831524639745	0.0	False
Fibroblast	Cap	Fgf2	Gpc4	Fgf2–Gpc4	1	0	0	-0.5229014561391874	0.39826839826839827	0.5190132618704046	0.0	False
Mural	Cap-a	Il15	Il2rg	Il15–Il2rg	1	0	0	-0.5230809758666806	0.27705627705627706	0.39016164858861485	0.0	False
Lymphoid	Cap-a	Vegfd	Itga5	Vegfd–Itga5	1	0	0	-0.5235331804629564	0.24242424242424243	0.4618736383442266	0.0	False
Epithelial	Cap-a	App	Cd74	App–Cd74	1	0	1	-0.523670917893579	0.0367965367965368	0.08029442963217799	0.0	False
Epithelial	Cap-a	Bmp4	Bmpr2	Bmp4–Bmpr2	1	0	1	-0.5236976548017171	0.0021645021645021645	0.00885967035035358	0.0	False
